Measured,Simulated,TLE_ID,Initial_Offset_h,Best_Offset_h,Correction_h,Correlation,RMSE_Hz,MAE_Hz,N_Points
sat_25,IRIDIUM155,155,1.1617721054289076,1.2583333333333333,0.09656122790442567,0.9999803045502196,62776.93539778625,62776.86151343945,3
sat_67,IRIDIUM167,167,1.1482448732852937,1.2333333333333334,0.08508846004803972,0.999876233581471,52782.60377498273,52780.65962206541,3
sat_71,IRIDIUM126,126,1.1103126770920224,1.0666666666666667,-0.043646010425355763,0.9996204970179047,40892.265818367065,40884.85627184262,3
sat_89,IRIDIUM133,133,1.1510524223910437,1.2333333333333334,0.08228091094228973,0.997215588526825,54067.46398252425,54061.98171617766,6
sat_74,IRIDIUM144,144,1.1499606031841703,1.2083333333333333,0.058372730149163,0.999412697346932,46854.7119016607,46752.626104731404,3
sat_73,IRIDIUM100,100,1.1584507955445185,1.2583333333333333,0.09988253778881484,0.9984997857145562,63333.276966650155,63333.12590963715,5
sat_46,IRIDIUM156,156,1.1659156642357509,1.0666666666666667,-0.09924899756908423,0.9994999294115064,40506.72342076552,40502.03883985097,5
sat_17,IRIDIUM112,112,1.1598607417609956,1.0666666666666667,-0.09319407509432898,0.9998138553184864,40817.96278809917,40816.24988067195,3
sat_18,IRIDIUM158,158,0.3214289053281148,-0.525,-0.8464289053281149,0.9996437268950372,10964.049679068143,10115.547255438732,5
sat_110,IRIDIUM104,104,0.32312256515026094,1.0833333333333333,0.7602107681830723,0.9992065459808459,32181.67505219911,32168.413629038412,7
